feature_0,feature_1,feature_2,feature_3,feature_4,feature_5
1.1875,1.3174389540472986,-0.5,0.0,0.36046511627906974,0.0
-0.375,-0.3291674677946549,-0.5,0.0,0.36046511627906974,0.0
-0.625,-0.030763314747164008,-0.5,0.0,0.36046511627906974,0.0
0.875,-0.32609113631993847,-0.5,0.0,0.36046511627906974,0.0
1.125,-0.29071332436069985,-0.5,0.0,0.36046511627906974,0.0
1.3125,-0.28456066141126707,-0.5,0.0,0.36046511627906974,0.0
0.0625,-0.3307056335320131,-0.5,0.0,0.36046511627906974,0.0
-0.1875,0.058450298019611616,-0.5,0.0,0.36046511627906974,0.0
0.3125,1.65814266487214,-0.5,0.0,0.36046511627906974,0.0
0.9375,0.6621803499327052,-0.5,0.0,0.36046511627906974,0.0
0.0625,-0.3122476446837147,-0.5,0.0,0.36046511627906974,0.0
0.4375,-0.19303980003845414,-0.5,0.0,0.36046511627906974,0.0
1.25,-0.2853297442799462,-0.5,0.0,0.36046511627906974,0.0
1.0,-0.3130167275523938,-0.5,0.0,0.36046511627906974,0.0
0.25,1.159007883099404,-0.5,0.0,0.36046511627906974,0.0
0.625,-0.3307056335320131,-0.5,0.0,0.36046511627906974,0.0
0.1875,0.19996154585656606,-0.5,0.0,0.36046511627906974,0.0
1.0625,-0.2960969044414536,-0.5,0.0,0.36046511627906974,0.0
0.1875,-0.29225149009805806,-0.5,0.0,0.36046511627906974,0.0
-0.5625,-0.21380503749278984,0.0,0.0,0.36046511627906974,0.0
1.3125,-0.10767160161507403,-0.5,0.0,0.36046511627906974,0.0
1.3125,-0.28917515862334164,-0.5,0.0,0.36046511627906974,0.0
1.125,-0.35916169967313977,-0.5,0.0,0.36046511627906974,0.0
0.3125,-0.8490674870217266,-0.5,0.0,0.36046511627906974,0.0
0.3125,-0.28917515862334164,-0.5,0.0,0.36046511627906974,0.0
-0.3125,-0.28379157854258796,-0.5,0.0,0.36046511627906974,0.0
0.375,0.07152470678715632,0.0,0.0,0.36046511627906974,0.0
1.0625,-0.3568544510671025,0.0,0.0,0.36046511627906974,0.0
1.0625,-0.2876369928859835,-0.5,0.0,0.36046511627906974,0.0
-0.375,-0.24995193232070756,0.0,0.0,0.36046511627906974,0.0
0.25,-0.3307056335320131,-0.5,0.0,0.36046511627906974,0.0
-0.4375,0.06691020957508172,-0.5,0.0,0.36046511627906974,0.0
0.875,0.3976158431070948,-0.5,0.0,0.36046511627906974,0.0
1.25,-0.2868679100173044,-0.5,0.0,0.36046511627906974,0.0
0.9375,-0.06306479523168622,0.0,0.0,0.36046511627906974,0.0
0.5,-0.19534704864449146,0.0,0.0,0.36046511627906974,0.0
0.375,-0.26456450682561045,-0.5,0.0,0.36046511627906974,0.0
0.9375,-0.18919438569505864,0.0,0.0,0.36046511627906974,0.0
0.6875,-0.3307056335320131,0.5,0.0,0.36046511627906974,0.0
0.9375,2.8071524706787154,-0.5,0.0,0.36046511627906974,0.0
1.0,-0.27456258411843876,0.0,0.0,0.36046511627906974,0.0
-0.375,-0.09459719284752932,0.0,0.0,0.36046511627906974,0.0
1.375,0.7675447029417419,0.0,0.0,0.36046511627906974,0.0
-0.25,-0.3307056335320131,-0.5,0.0,0.36046511627906974,0.0
0.125,0.06691020957508172,-0.5,0.0,0.36046511627906974,0.0
0.0,-0.13305133628148433,-0.5,0.0,0.36046511627906974,0.0
0.875,-0.07690828686791001,0.0,0.0,0.36046511627906974,0.0
1.0,-0.3307056335320131,-0.5,0.0,0.36046511627906974,0.0
-0.1875,0.4637569698134974,0.0,0.0,0.36046511627906974,0.0
0.5,-0.33993462795616225,-0.5,0.0,0.36046511627906974,0.0
0.3125,-0.27994616419919244,-0.5,0.0,0.36046511627906974,0.0
0.625,2.1588156123822344,0.5,0.0,0.36046511627906974,0.0
0.75,1.3981926552586041,0.0,0.0,0.36046511627906974,0.0
0.625,-0.0015381657373582003,-0.5,0.0,0.36046511627906974,0.0
-0.375,-0.22303403191693905,-0.5,0.0,0.36046511627906974,0.0
0.0625,0.03460872909055951,0.0,0.0,0.36046511627906974,0.0
0.875,-0.2768698327244761,0.0,0.0,0.36046511627906974,0.0
0.125,-0.14920207652374542,-0.5,0.0,0.36046511627906974,0.0
-0.125,0.13074408767544704,-0.5,0.0,0.36046511627906974,0.0
1.0625,-0.21149778888675255,0.5,0.0,0.36046511627906974,0.0
1.25,-0.08536819842338011,0.5,0.0,0.36046511627906974,0.0
-0.5625,-0.3307056335320131,0.0,0.0,0.36046511627906974,0.0
0.5,-0.04768313785810421,0.0,0.0,0.36046511627906974,0.0
0.0625,0.18611805422034225,0.0,0.0,0.36046511627906974,0.0
1.0625,-0.3207075562391848,0.0,0.0,0.36046511627906974,0.0
1.125,-0.16842914824072294,0.0,0.0,0.36046511627906974,0.0
-0.1875,-0.28302249567390886,0.0,0.0,0.36046511627906974,0.0
0.875,-0.13305133628148433,0.0,0.0,0.36046511627906974,0.0
1.0,-0.2622572582195732,0.5,0.0,0.36046511627906974,0.0
0.1875,0.04614497212074601,0.0,0.0,0.36046511627906974,0.0
0.75,-0.3307056335320131,0.0,0.0,0.36046511627906974,0.0
0.625,-0.020765237454335703,0.0,0.0,0.36046511627906974,0.0
0.5625,-0.20688329167467795,0.5,0.0,0.36046511627906974,0.0
-0.4375,1.636608344549125,0.0,0.0,0.36046511627906974,0.0
0.1875,-0.2868679100173044,0.0,0.0,0.36046511627906974,0.0
-0.5625,-0.6821765045183619,0.0,0.0,0.36046511627906974,0.0
0.1875,0.4552970582580273,0.0,0.0,0.36046511627906974,0.0
1.25,-0.30994039607767737,0.5,0.0,0.36046511627906974,0.0
-0.5,-0.3214766391078639,0.0,0.0,0.36046511627906974,0.0
0.3125,-0.3045568159969237,1.0,0.0,0.36046511627906974,0.0
0.25,-0.329936550663334,-0.5,0.0,0.3488372093023256,0.0
-0.0625,-0.31532397615843105,-0.5,0.0,0.3488372093023256,0.0
1.1875,0.9513555085560469,-0.5,0.0,0.3488372093023256,0.0
-0.75,-0.3276293020572967,-0.5,0.0,0.3488372093023256,0.0
-0.4375,-0.3307056335320131,0.5,0.0,0.3488372093023256,0.0
-0.625,-0.3184003076331475,-0.5,0.0,0.3488372093023256,0.0
0.8125,-0.32532205345125936,0.0,0.0,0.3488372093023256,0.0
-0.4375,-0.018457988848298405,-0.5,0.0,0.3488372093023256,0.0
-0.3125,-0.14458757931167082,-0.5,0.0,0.3488372093023256,0.0
0.1875,-0.22918669486637186,-0.5,0.0,0.3488372093023256,0.0
-0.125,-0.329936550663334,-0.5,0.0,0.3488372093023256,0.0
0.0,-0.016919823110940205,-0.5,0.0,0.3488372093023256,0.0
-0.1875,-0.31532397615843105,-0.5,0.0,0.3488372093023256,0.0
1.0,-0.29071332436069985,-0.5,0.0,0.3488372093023256,0.0
0.125,0.3391655450874832,-0.5,0.0,0.3488372093023256,0.0
0.125,0.25918092674485677,-0.5,0.0,0.3488372093023256,0.0
0.25,-0.3307056335320131,-0.5,0.0,0.3488372093023256,0.0
-0.125,-0.31763122476446837,-0.5,0.0,0.3488372093023256,0.0
-0.4375,-0.4614497212074601,-0.5,0.0,0.3488372093023256,0.0
0.125,-0.3307056335320131,-0.5,0.0,0.3488372093023256,0.0
-0.5,-0.31763122476446837,-0.5,0.0,0.3488372093023256,0.0
0.4375,0.8436839069409728,-0.5,0.0,0.3488372093023256,0.0
-0.625,-0.3307056335320131,-0.5,0.0,0.3488372093023256,0.0
